id,PA1,AccVal,val
burns001,3,0.491140,0.1637133333
dedus001,2,0.200980,0.1004900000
jansk001,3,0.253400,0.0844666667
gonzm003,4,0.296760,0.0741900000
valdc003,4,0.238590,0.0596475000
mikom001,3,0.177580,0.0591933333
moorm003,7,0.401960,0.0574228571
chavj001,5,0.260780,0.0521560000
peacb001,5,0.238590,0.0477180000
guerm001,2,0.093530,0.0467650000
rodrf004,4,0.177580,0.0443950000
thayd001,1,0.039320,0.0393200000
scalb001,20,0.770950,0.0385475000
duenb001,6,0.200980,0.0334966667
chenb001,11,0.367350,0.0333954545
color001,1,0.032860,0.0328600000
pinem001,5,0.163460,0.0326920000
carll001,31,0.977980,0.0315477419
delar003,16,0.503950,0.0314968750
doubf001,7,0.200980,0.0287114286
mcalz001,5,0.139830,0.0279660000
smitg002,16,0.440740,0.0275462500
clipt001,6,0.160260,0.0267100000
chenw001,7,0.183170,0.0261671429
kellj001,84,2.196030,0.0261432143
balec001,5,0.130350,0.0260700000
buddr001,11,0.282450,0.0256772727
schwc001,11,0.282450,0.0256772727
mainj001,15,0.368940,0.0245960000
rogem001,19,0.440740,0.0231968421
garnc001,12,0.277230,0.0231025000
vargj001,16,0.369280,0.0230800000
marto001,75,1.705110,0.0227348000
watsm002,37,0.832210,0.0224921622
milot001,23,0.495050,0.0215239130
vanej001,21,0.441130,0.0210061905
bedae001,53,1.111600,0.0209735849
cingt001,36,0.736330,0.0204536111
milla002,13,0.260780,0.0200600000
darnc001,166,3.220300,0.0193993976
moelc001,15,0.288870,0.0192580000
leons001,42,0.804450,0.0191535714
holab001,47,0.895540,0.0190540426
may-l001,41,0.780880,0.0190458537
reyng001,21,0.398850,0.0189928571
fryee001,50,0.931590,0.0186318000
lerus001,15,0.276380,0.0184253333
cooka002,83,1.521070,0.0183261446
mcclk001,47,0.847510,0.0180321277
thort001,25,0.440740,0.0176296000
averx001,112,1.884880,0.0168292857
kellc001,12,0.200980,0.0167483333
lutzz001,39,0.651680,0.0167097436
inglj001,194,3.241540,0.0167089691
smitj003,5,0.083160,0.0166320000
romer002,16,0.261590,0.0163493750
triuc001,73,1.182000,0.0161917808
mattg002,67,1.044240,0.0155856716
moehb001,11,0.169040,0.0153672727
falui001,97,1.487040,0.0153303093
dejei002,84,1.283700,0.0152821429
sardd001,86,1.308030,0.0152096512
hudsk001,30,0.442450,0.0147483333
thomr005,24,0.352330,0.0146804167
dinkb001,82,1.198200,0.0146121951
dirka001,1153,16.821870,0.0145896531
martj005,14,0.200980,0.0143557143
mejij001,19,0.268100,0.0141105263
hoovp001,26,0.365930,0.0140742308
wellt002,21,0.291500,0.0138809524
fifes001,28,0.387660,0.0138450000
boscj001,32,0.440740,0.0137731250
felij002,122,1.673530,0.0137174590
ramim003,85,1.164020,0.0136943529
romia002,180,2.460590,0.0136699444
laroa002,386,5.191560,0.0134496373
lopef001,609,8.186990,0.0134433333
roenj001,15,0.200980,0.0133986667
martf002,217,2.905180,0.0133879263
navao001,25,0.333470,0.0133388000
herre001,238,3.116220,0.0130933613
philp001,26,0.337700,0.0129884615
zawal001,44,0.570730,0.0129711364
scutm001,2536,32.861440,0.0129579811
hoffm001,60,0.777120,0.0129520000
chrij003,117,1.510610,0.0129111966
carrb001,99,1.268030,0.0128083838
myerb001,148,1.884970,0.0127362838
holtb002,147,1.852480,0.0126019048
tolbm001,341,4.293010,0.0125894721
lynnl001,150,1.870500,0.0124700000
jacka001,2789,34.569670,0.0123950054
corbp001,116,1.437630,0.0123933621
satij001,263,3.256230,0.0123811027
castl001,313,3.833880,0.0122488179
tolls001,137,1.671920,0.0122037956
moreb001,697,8.493740,0.0121861406
loewa001,38,0.462560,0.0121726316
vizqo001,794,9.628110,0.0121260831
jacom001,53,0.641180,0.0120977358
marsl001,827,9.978190,0.0120655260
cashk001,134,1.613850,0.0120436567
takah001,20,0.238590,0.0119295000
torra001,1814,21.621960,0.0119194928
carpm002,1188,14.146290,0.0119076515
machm001,976,11.618360,0.0119040574
