id,first,last,PA1,accScore,score
mcdod002,Darnell,McDonald,713,28.45771,0.0399126367
lylej001,Jordan,Lyles,82,2.34185,0.0285591463
tejar001,Ruben,Tejada,1403,53.151,0.0378838204
torrc001,Carlos,Torres,32,3.39099,0.1059684375
belta001,Adrian,Beltre,2677,94.12554,0.0351608293
tream001,Matt,Treanor,682,28.7853,0.0422071848
woodt004,Travis,Wood,207,6.08773,0.0294093237
davim005,nan,nan,93,3.69434,0.039724086
expol001,Luis,Exposito,22,0.16748,0.0076127273
scutm001,Marco,Scutaro,2536,96.96994,0.038237358
figun001,Nelson,Figueroa,33,1.2933,0.0391909091
ramiw001,Wilkin,Ramirez,122,3.21879,0.0263835246
culbc001,Charlie,Culberson,134,4.61416,0.0344340299
aybae001,Erick,Aybar,2390,80.70561,0.0337680377
hoffj002,Jarrett,Hoffpauir,38,0.45843,0.0120639474
arrob001,Bronson,Arroyo,296,7.13489,0.0241043581
monac001,Carlos,Monasterios,18,1.25426,0.0696811111
hallr001,Roy,Halladay,280,8.41552,0.0300554286
garca003,Avisail,Garcia,339,10.66488,0.031459823
martm003,Michael,Martinez,406,15.77019,0.0388428325
kellj001,Joe,Kelly,84,4.82868,0.0574842857
iwama001,Akinori,Iwamura,235,3.83301,0.0163106809
herrc001,Chris,Herrmann,211,4.53522,0.0214939336
kottg001,George,Kottaras,756,26.49843,0.0350508333
cainm001,Matt,Cain,328,10.56235,0.0322022866
sogae001,Eric,Sogard,622,20.34393,0.032707283
burre001,Manny,Burriss,320,8.20902,0.0256531875
willj004,Josh,Willingham,2173,84.32926,0.0388077589
quenc001,Carlos,Quentin,1723,54.37082,0.0315559025
jurrj001,Jair,Jurrjens,120,2.81684,0.0234736667
nieuk001,Kirk,Nieuwenhuis,431,17.6215,0.0408851508
lerea001,Anthony,Lerew,2,0.13299,0.066495
lahab001,Bryan,LaHair,474,16.11138,0.0339902532
maldm001,Martin,Maldonado,469,13.15544,0.0280499787
wilsm002,Mike,Wilson,28,1.10937,0.0396203571
heywj001,Jason,Heyward,2265,85.12738,0.0375838322
ryanm001,Mike,Ryan,42,0.95458,0.0227280952
sanca004,Anibal,Sanchez,186,5.51232,0.029636129
sanca005,Angel,Sanchez,641,29.47125,0.0459769891
lecus001,Sam,LeCure,25,0.9794,0.039176
mains001,Scott,Maine,2,0.13839,0.069195
hernd001,Diory,Hernandez,48,0.71161,0.0148252083
richg002,Garrett,Richards,2,0.00384,0.00192
gally001,Yovani,Gallardo,302,8.75603,0.0289934768
guerm001,Matt,Guerrier,2,0.29184,0.14592
crawc002,Carl,Crawford,1930,75.40966,0.0390723627
phegj001,nan,nan,220,7.40748,0.0336703636
vicid001,Dayan,Viciedo,1262,44.44517,0.0352180428
valdw001,Wilson,Valdez,892,31.2943,0.035083296
rodra001,Alex,Rodriguez,1885,71.97071,0.038180748
rodra002,Aneury,Rodriguez,12,0.35245,0.0293708333
davir003,Rajai,Davis,1810,55.98615,0.0309315746
wilsj003,Josh,Wilson,562,16.86794,0.0300141281
fulds001,Sam,Fuld,708,23.86737,0.0337109746
ameza001,Alfredo,Amezaga,94,3.10093,0.032988617
samaj001,Jeff,Samardzija,148,1.1054,0.0074689189
cespy001,Yoenis,Cespedes,1193,40.13918,0.0336455826
flowt001,Tyler,Flowers,592,16.34988,0.0276180405
tavew001,Willy,Taveras,39,2.12773,0.0545571795
dedus001,Samuel,Deduno,2,0.16022,0.08011
lyont001,nan,nan,13,0.35452,0.0272707692
kawak001,Kenshin,Kawakami,32,0.43241,0.0135128125
snidt001,Travis,Snider,1029,29.73073,0.0288928377
norrb001,Bud,Norris,193,4.72307,0.0244718653
joycm001,Matthew,Joyce,1838,68.46202,0.0372481066
lewic001,Colby,Lewis,25,0.31822,0.0127288
glaut001,Troy,Glaus,507,25.28077,0.0498634517
domim001,Matt,Dominguez,775,19.3361,0.0249498065
adamm002,Matt,Adams,489,14.77521,0.0302151534
santj003,Johan,Santana,110,2.8615,0.0260136364
rodrw002,Wandy,Rodriguez,239,9.23971,0.0386598745
suzui001,Ichiro,Suzuki,2781,84.78772,0.0304882129
darnj001,James,Darnell,77,2.43025,0.0315616883
thomc002,Clete,Thomas,360,12.4279,0.0345219444
hills004,Steven,Hill,13,0.7436,0.0572
mcbrm002,Matt,McBride,86,4.40028,0.0511660465
ingeb001,Brandon,Inge,1397,47.28375,0.0338466356
hefnj001,Jeremy,Hefner,65,1.8491,0.0284476923
jordt001,nan,nan,18,0.4466,0.0248111111
quirg001,Guillermo,Quiroz,109,1.92862,0.0176937615
eovan001,Nathan,Eovaldi,84,1.86442,0.0221954762
eatoa002,Adam,Eaton,389,10.02315,0.0257664524
almoe001,Erick,Almonte,29,0.31275,0.0107844828
morrl001,Logan,Morrison,1550,56.45549,0.0364228968
bernd001,Doug,Bernier,66,2.71514,0.0411384848
martj006,J.D.,Martinez,1014,37.20727,0.0366935602
mattg002,Gary,Matthews,67,3.64109,0.0543446269
hairs001,Scott,Hairston,1098,39.21621,0.0357160383
andel002,Lars,Anderson,61,2.22938,0.0365472131
barnd001,Darwin,Barney,1862,59.4403,0.0319228249
beacb001,Brandon,Beachy,102,5.011,0.049127451
webet001,Thad,Weber,3,0.18106,0.0603533333
lincb001,Brad,Lincoln,43,1.96716,0.045747907
lohsk001,Kyle,Lohse,274,9.22909,0.0336828102
marte002,nan,nan,10,0.0152,0.00152
gillc002,Cole,Gillespie,193,6.421,0.0332694301
diaza002,Argenis,Diaz,37,0.17139,0.0046321622
friec001,Christian,Friedrich,30,0.71222,0.0237406667
parra001,Andy,Parrino,238,5.18901,0.021802563
riosa002,Alex,Rios,2590,83.58955,0.0322739575
dysoj001,Jarrod,Dyson,719,25.94088,0.0360791099
valac001,Chris,Valaika,143,3.32995,0.0232863636
jimel002,nan,nan,110,4.78489,0.043499
gonzc001,Carlos,Gonzalez,2286,98.21396,0.0429632371
towlj001,J.R.,Towles,223,5.56321,0.02494713
karsj001,Jeff,Karstens,126,3.61692,0.0287057143
lutzd001,nan,nan,60,0.36091,0.0060151667
harrl002,Lucas,Harrell,72,1.88405,0.0261673611
dendm001,nan,nan,64,1.07364,0.016775625
aokin001,Norichika,Aoki,1280,33.16612,0.0259110313
puntn001,Nick,Punto,1067,38.17883,0.0357814714
lerus001,Steven,Lerud,15,0.55189,0.0367926667
cumpb001,nan,nan,12,0.04418,0.0036816667
wooda002,nan,nan,23,1.5466,0.0672434783
moraj002,Jose,Morales,118,5.75467,0.0487683898
hundn001,Nick,Hundley,1296,47.12452,0.0363615123
lutzz001,Zach,Lutz,39,2.94825,0.0755961538
monej001,nan,nan,9,0.50195,0.0557722222
frazt001,Todd,Frazier,1233,35.07545,0.0284472425
custj001,Jack,Cust,714,24.09205,0.0337423669
mortc002,Charlie,Morton,147,4.13352,0.0281191837
navad001,Dioner,Navarro,709,20.15612,0.0284289422
navad002,Daniel,Nava,1117,47.80098,0.0427940734
carrj001,Jamey,Carroll,1789,66.20981,0.0370093963
avilm001,Mike,Aviles,1753,60.42288,0.0344682715
ojeda001,Augie,Ojeda,93,2.71874,0.0292337634
teagt001,Taylor,Teagarden,260,10.1629,0.0390880769
britz001,Zachary,Britton,8,0.46607,0.05825875
pagaa001,Angel,Pagan,2259,93.32937,0.0413144622
murpd004,Donnie,Murphy,451,15.52013,0.0344127051
murpd005,David,Murphy,2049,70.26286,0.0342912933
descd001,Daniel,Descalso,1320,46.57235,0.0352820833
lee-c003,Cliff,Lee,235,8.16778,0.0347565106
parej002,Jimmy,Paredes,407,11.49322,0.0282388698
lee-c001,Carlos,Lee,2001,64.21175,0.0320898301
bocob001,Brian,Bocock,5,0.31275,0.06255
butlj002,nan,nan,17,0.48647,0.0286158824
phipd001,Denis,Phipps,12,0.55753,0.0464608333
sotog001,Geovany,Soto,1445,35.57832,0.0246216747
batim001,Miguel,Batista,24,0.4245,0.0176875
darnt001,nan,nan,115,2.44182,0.0212332174
gutif001,Franklin,Gutierrez,1359,40.86731,0.0300716041
karnn001,nan,nan,5,0.18062,0.036124
olmer001,Ray,Olmedo,42,0.77126,0.0183633333
byrne001,Eric,Byrnes,40,0.6859,0.0171475
quino001,Omar,Quintanilla,584,18.92476,0.032405411
lairg001,Gerald,Laird,781,24.60906,0.0315096799
bradm001,Milton,Bradley,412,10.64781,0.025844199
iglej001,Jose,Iglesias,510,22.21068,0.0435503529
carpm002,Matt,Carpenter,1188,52.97254,0.0445896801
handb001,Brad,Hand,25,0.70357,0.0281428
loper001,Rodrigo,Lopez,106,3.23757,0.0305431132
werna001,Andrew,Werner,15,0.5003,0.0333533333
marcs001,Shaun,Marcum,158,3.16221,0.0200139873
detwr001,Ross,Detwiler,105,2.02309,0.0192675238
chisl001,Lonnie,Chisenhall,703,19.76444,0.0281144239
casta003,Alex,Castellanos,44,1.69778,0.0385859091
robeb003,Brian,Roberts,827,23.44461,0.0283489843
howar001,Ryan,Howard,2044,80.6182,0.0394413894
lopef001,Felipe,Lopez,609,20.41958,0.033529688
millk004,Kevin,Millwood,33,0.56414,0.0170951515
fielp001,Prince,Fielder,3060,128.0679,0.0418522549
adrie001,nan,nan,20,0.25816,0.012908
smits002,Seth,Smith,1876,62.19818,0.0331546802
mccud001,Daniel,McCutchen,23,0.74149,0.0322386957
lindj003,John,Lindsey,14,0.78597,0.0561407143
hilla001,Aaron,Hill,2297,75.67685,0.0329459512
pomed001,Drew,Pomeranz,42,0.62381,0.014852619
paulr001,Ronny,Paulino,670,23.75906,0.0354612836
betew001,Wilson,Betemit,1099,32.90863,0.0299441583
fierm001,Michael,Fiers,43,0.63501,0.0147676744
castr002,Ramon,Castro,211,8.08322,0.0383090995
mauej001,Joe,Mauer,2187,97.54594,0.0446026246
loewa001,Adam,Loewen,38,0.87191,0.022945
simoa001,Alfredo,Simon,12,0.28016,0.0233466667
nolar001,Ricky,Nolasco,264,9.77597,0.0370301894
ruizr001,Randy,Ruiz,42,0.55012,0.0130980952
pachj001,Jordan,Pacheco,884,31.90403,0.0360905317
maxwj002,Justin,Maxwell,770,22.40281,0.0290945584
herrj002,Jonathan,Herrera,1082,39.12786,0.0361625323
mckem001,Michael,McKenry,622,12.65931,0.0203525884
fowld001,Dexter,Fowler,2166,84.5428,0.0390317636
cahit001,Trevor,Cahill,137,3.08291,0.0225029927
kendj001,Jason,Kendall,515,19.94078,0.0387199612
solad001,Donovan,Solano,732,23.56674,0.032195
florj002,Jesus,Flores,410,12.57286,0.0306655122
pastt001,Tyler,Pastornicky,229,10.23198,0.0446811354
blakc001,Casey,Blake,853,29.95475,0.0351169402
arenj001,J.P.,Arencibia,1447,42.06817,0.0290726814
figaa001,Alfredo,Figaro,12,0.48254,0.0402116667
delar003,Rubby,de la Rosa,16,0.73522,0.04595125
blank002,Kyle,Blanks,656,24.56956,0.0374535976
younm004,Matt,Young,64,1.89143,0.0295535938
burgh001,nan,nan,10,0.16022,0.016022
guilj001,Jose,Guillen,587,18.02027,0.0306989267
younm003,Michael,Young,2928,110.52279,0.0377468545
hestj001,John,Hester,208,9.98078,0.0479845192
miraj001,Juan,Miranda,283,10.00115,0.0353397527
pradm001,Martin,Prado,2710,99.27145,0.0366315314
leakm001,Mike,Leake,274,9.45936,0.0345232117
lambm001,Mike,Lamb,40,0.96767,0.02419175
lonej001,James,Loney,2401,79.27512,0.0330175427
lombs002,Steve,Lombardozzi,775,21.60375,0.0278758065
bushd001,David,Bush,65,2.54268,0.0391181538
johnr009,Rob,Johnson,528,15.83037,0.0299817614
johnr008,Reed,Johnson,927,30.48136,0.032881726
westj001,Jake,Westbrook,191,6.30603,0.0330158639
kinsi001,Ian,Kinsler,2793,119.42286,0.0427579162
donaj002,Jason,Donald,614,21.85327,0.035591645
santo001,Omir,Santos,33,1.30369,0.0395057576
