id,first,last,PA1,accScore,score
molig002,Gustavo,Molina,13,0.016490,0.0012684615
villc001,Carlos,Villanueva,45,0.052780,0.0011728889
verlj001,Justin,Verlander,20,0.022520,0.0011260000
eldrb001,Brad,Eldred,44,0.048500,0.0011022727
expol001,Luis,Exposito,22,0.022980,0.0010445455
matsd001,Daisuke,Matsuzaka,21,0.021020,0.0010009524
nealt001,Thomas,Neal,45,0.042910,0.0009535556
galaa002,Armando,Galarraga,29,0.026510,0.0009141379
sanaa001,Alex,Sanabia,49,0.042400,0.0008653061
daviw001,Wade,Davis,11,0.007920,0.0007200000
hughr001,Rhyne,Hughes,54,0.030130,0.0005579630
montl002,Luke,Montz,30,0.014670,0.0004890000
chirr001,Robinson,Chirinos,97,0.044360,0.0004573196
petiy001,Yusmeiro,Petit,18,0.008210,0.0004561111
mazzv001,Vin,Mazzaro,18,0.004230,0.0002350000
rosst001,Tyson,Ross,39,0.003580,0.0000917949
ortir002,Ramon,Ortiz,9,0.000810,0.0000900000
