id,first,last,PA1,accScore,score
mcdod002,Darnell,McDonald,713,17.47228,0.0245053015
lylej001,Jordan,Lyles,82,0.64266,0.0078373171
tejar001,Ruben,Tejada,1403,25.00121,0.0178198218
torrc001,Carlos,Torres,32,0.81299,0.0254059375
belta001,Adrian,Beltre,2677,68.60378,0.0256271124
tream001,Matt,Treanor,682,10.83986,0.0158942229
woodt004,Travis,Wood,207,3.78527,0.0182863285
davim005,nan,nan,93,1.88651,0.0202850538
expol001,Luis,Exposito,22,0.3407,0.0154863636
mayse001,Edwin,Maysonet,66,0.01977,0.0002995455
scutm001,Marco,Scutaro,2536,58.33424,0.0230024606
figun001,Nelson,Figueroa,33,0.4668,0.0141454545
nolar001,Ricky,Nolasco,264,5.39024,0.0204175758
eveld001,Dana,Eveland,12,0.18657,0.0155475
ramiw001,Wilkin,Ramirez,122,1.8125,0.0148565574
culbc001,Charlie,Culberson,134,2.32515,0.0173518657
aybae001,Erick,Aybar,2390,50.28612,0.0210402176
arrob001,Bronson,Arroyo,296,5.22939,0.0176668581
monac001,Carlos,Monasterios,18,0.62848,0.0349155556
hallr001,Roy,Halladay,280,2.51874,0.0089955
garca003,Avisail,Garcia,339,6.45976,0.0190553392
martm003,Michael,Martinez,406,5.12518,0.0126235961
uptoj001,Justin,Upton,2653,63.73705,0.0240245194
iwama001,Akinori,Iwamura,235,2.09103,0.008898
herrc001,Chris,Herrmann,211,3.62556,0.0171827488
kottg001,George,Kottaras,756,14.74154,0.0194993915
cainm001,Matt,Cain,328,6.54791,0.0199631402
sogae001,Eric,Sogard,622,11.91075,0.0191491158
burre001,Manny,Burriss,320,4.64695,0.0145217188
willj004,Josh,Willingham,2173,54.49938,0.0250802485
quenc001,Carlos,Quentin,1723,30.90643,0.0179375682
jurrj001,Jair,Jurrjens,120,2.46894,0.0205745
nieuk001,Kirk,Nieuwenhuis,431,10.9073,0.0253069606
valdj002,Jordany,Valdespin,354,5.51604,0.0155820339
maldm001,Martin,Maldonado,469,7.36705,0.0157079957
wilsm002,Mike,Wilson,28,0.83655,0.0298767857
heywj001,Jason,Heyward,2265,56.88356,0.0251141545
sellj002,Justin,Sellers,277,3.80946,0.0137525632
sanca004,Anibal,Sanchez,186,3.24168,0.0174283871
sanca005,Angel,Sanchez,641,16.73448,0.0261068331
lecus001,Sam,LeCure,25,0.46036,0.0184144
hernd001,Diory,Hernandez,48,0.10638,0.00221625
gally001,Yovani,Gallardo,302,7.1867,0.0237970199
crawc002,Carl,Crawford,1930,44.77782,0.023200943
phegj001,nan,nan,220,4.17648,0.018984
vicid001,Dayan,Viciedo,1262,29.23414,0.0231649287
valdw001,Wilson,Valdez,892,15.25541,0.0171024776
rodra001,Alex,Rodriguez,1885,46.22601,0.0245230822
davir003,Rajai,Davis,1810,30.03205,0.0165922928
wilsj003,Josh,Wilson,562,10.21277,0.0181721886
fulds001,Sam,Fuld,708,12.25205,0.0173051554
ameza001,Alfredo,Amezaga,94,2.07403,0.0220641489
oswar001,Roy,Oswalt,134,3.1517,0.0235201493
cespy001,Yoenis,Cespedes,1193,27.21075,0.0228086756
flowt001,Tyler,Flowers,592,7.71271,0.0130282264
tavew001,Willy,Taveras,39,0.85324,0.0218779487
snidt001,Travis,Snider,1029,19.01509,0.0184791934
norrb001,Bud,Norris,193,2.50524,0.0129805181
joycm001,Matthew,Joyce,1838,41.57328,0.0226187595
lewic001,Colby,Lewis,25,0.14362,0.0057448
glaut001,Troy,Glaus,507,13.06291,0.0257651085
domim001,Matt,Dominguez,775,13.41845,0.017314129
adamm002,Matt,Adams,489,10.49507,0.0214623108
santj003,Johan,Santana,110,1.58613,0.0144193636
rodrw002,Wandy,Rodriguez,239,3.82681,0.0160117573
suzui001,Ichiro,Suzuki,2781,41.10825,0.0147818231
darnj001,James,Darnell,77,1.34535,0.0174720779
counc001,Craig,Counsell,433,6.66366,0.015389515
mcbrm002,Matt,McBride,86,2.98122,0.0346653488
ingeb001,Brandon,Inge,1397,24.45438,0.0175049248
britz001,Zachary,Britton,8,0.14362,0.0179525
jordt001,nan,nan,18,0.32318,0.0179544444
worlv001,Vance,Worley,96,1.9409,0.0202177083
eovan001,Nathan,Eovaldi,84,0.44813,0.005334881
eatoa002,Adam,Eaton,389,5.88851,0.0151375578
ramij003,nan,nan,15,0.53613,0.035742
dudal001,Lucas,Duda,1323,31.20075,0.0235833333
lerea001,Anthony,Lerew,2,0.11836,0.05918
markn001,Nick,Markakis,2685,64.60152,0.0240601564
hairs001,Scott,Hairston,1098,22.55064,0.0205379235
andel002,Lars,Anderson,61,1.21873,0.0199791803
barnd001,Darwin,Barney,1862,31.66493,0.01700587
pie-f001,Felix,Pie,525,10.77629,0.0205262667
lohsk001,Kyle,Lohse,274,4.44588,0.0162258394
gillc002,Cole,Gillespie,193,4.64945,0.0240904145
mcguc001,nan,nan,35,0.19019,0.005434
friec001,Christian,Friedrich,30,0.50385,0.016795
jacom001,Mike,Jacobs,53,0.80304,0.0151516981
riosa002,Alex,Rios,2590,57.68809,0.0222733938
dysoj001,Jarrod,Dyson,719,13.89924,0.0193313491
jimel002,nan,nan,110,1.59578,0.0145070909
braur002,Ryan,Braun,2393,69.52145,0.0290520059
towlj001,J.R.,Towles,223,3.24243,0.0145400448
karsj001,Jeff,Karstens,126,1.80475,0.0143234127
lutzd001,nan,nan,60,0.31215,0.0052025
harvm001,Matt,Harvey,85,1.26742,0.0149108235
dendm001,nan,nan,64,0.67616,0.010565
aokin001,Norichika,Aoki,1280,18.47456,0.01443325
puntn001,Nick,Punto,1067,23.62641,0.0221428397
betay001,Yuniesky,Betancourt,1917,37.18146,0.0193956495
medlk001,Kris,Medlen,144,1.7002,0.0118069444
wooda002,nan,nan,23,0.68009,0.0295691304
moraj002,Jose,Morales,118,3.53859,0.0299880508
hundn001,Nick,Hundley,1296,24.74544,0.0190937037
lutzz001,Zach,Lutz,39,0.78182,0.0200466667
frazt001,Todd,Frazier,1233,27.64214,0.022418605
custj001,Jack,Cust,714,13.78635,0.0193086134
wised001,Dewayne,Wise,544,9.91473,0.0182256066
navad001,Dioner,Navarro,709,11.47262,0.0161814104
navad002,Daniel,Nava,1117,27.06072,0.0242262489
carrj001,Jamey,Carroll,1789,31.83448,0.0177945668
avilm001,Mike,Aviles,1753,33.40331,0.0190549401
molib001,Bengie,Molina,470,10.28185,0.0218762766
teagt001,Taylor,Teagarden,260,3.11272,0.011972
pagaa001,Angel,Pagan,2259,48.39936,0.0214251262
guzmj005,Jesus,Guzman,955,19.04389,0.0199412461
murpd005,David,Murphy,2049,43.89338,0.0214218546
murpd006,Dan,Murphy,1805,43.85897,0.0242985983
choim001,nan,nan,19,0.12849,0.0067626316
lee-c003,Cliff,Lee,235,5.88123,0.0250265106
parej002,Jimmy,Paredes,407,7.64049,0.0187727027
lee-c001,Carlos,Lee,2001,37.56297,0.018772099
bocob001,Brian,Bocock,5,0.14362,0.028724
butlj002,nan,nan,17,0.5174,0.0304352941
torry001,Yorvit,Torrealba,1250,21.15652,0.016925216
hamib001,nan,nan,22,0.90588,0.0411763636
darnt001,nan,nan,115,0.86615,0.0075317391
gutif001,Franklin,Gutierrez,1359,27.60658,0.0203138926
karnn001,nan,nan,5,0.14362,0.028724
guilj001,Jose,Guillen,587,10.10947,0.0172222658
byrne001,Eric,Byrnes,40,1.30701,0.03267525
rossc001,Cody,Ross,2020,46.21485,0.0228786386
quino001,Omar,Quintanilla,584,9.61853,0.0164700856
carpm001,Mike,Carp,811,14.01853,0.0172854871
bradm001,Milton,Bradley,412,4.41945,0.0107268204
iglej001,Jose,Iglesias,510,9.92319,0.0194572353
carpm002,Matt,Carpenter,1188,31.63719,0.0266306313
handb001,Brad,Hand,25,0.32318,0.0129272
loper001,Rodrigo,Lopez,106,2.23611,0.0210953774
werna001,Andrew,Werner,15,0.22346,0.0148973333
marcs001,Shaun,Marcum,158,2.57426,0.0162927848
keucd001,Dallas,Keuchel,30,0.5599,0.0186633333
oeltt001,Trent,Oeltjen,126,2.03887,0.0161815079
chisl001,Lonnie,Chisenhall,703,10.93871,0.0155600427
casta003,Alex,Castellanos,44,0.51996,0.0118172727
robeb003,Brian,Roberts,827,13.75134,0.0166279807
howar001,Ryan,Howard,2044,53.21076,0.0260326614
lopef001,Felipe,Lopez,609,11.39369,0.0187088506
millk004,Kevin,Millwood,33,0.32513,0.0098524242
fielp001,Prince,Fielder,3060,75.28205,0.0246019771
diams001,Scott,Diamond,15,0.32977,0.0219846667
smits002,Seth,Smith,1876,40.27593,0.0214690458
mccud001,Daniel,McCutchen,23,0.32318,0.0140513043
hilla001,Aaron,Hill,2297,44.17859,0.0192331694
pomed001,Drew,Pomeranz,42,0.3528,0.0084
paulr001,Ronny,Paulino,670,12.58655,0.0187858955
betew001,Wilson,Betemit,1099,21.25674,0.0193418926
fierm001,Michael,Fiers,43,0.00411,9.55813953488e-05
castr002,Ramon,Castro,211,5.53654,0.0262395261
brigr001,Reid,Brignac,754,10.06262,0.0133456499
niesj001,Jonathon,Niese,241,3.91548,0.016246805
wellr001,Randy,Wells,119,2.38301,0.0200252941
ruizr001,Randy,Ruiz,42,0.11063,0.0026340476
pachj001,Jordan,Pacheco,884,20.72235,0.0234415724
maxwj002,Justin,Maxwell,770,14.17295,0.0184064286
linct001,Tim,Lincecum,303,3.0006,0.0099029703
hoesl001,L.J.,Hoes,190,3.09688,0.0162993684
mckem001,Michael,McKenry,622,8.96002,0.0144051768
fowld001,Dexter,Fowler,2166,42.39308,0.0195720591
cahit001,Trevor,Cahill,137,1.1158,0.0081445255
kendj001,Jason,Kendall,515,11.33385,0.0220074757
solad001,Donovan,Solano,732,13.67829,0.0186861885
florj002,Jesus,Flores,410,6.75714,0.0164808293
pastt001,Tyler,Pastornicky,229,3.96555,0.0173168122
blakc001,Casey,Blake,853,18.39095,0.0215603165
arenj001,J.P.,Arencibia,1447,25.60046,0.017692094
figaa001,Alfredo,Figaro,12,0.19019,0.0158491667
delar003,Rubby,de la Rosa,16,0.16168,0.010105
blank002,Kyle,Blanks,656,13.96511,0.0212882774
younm004,Matt,Young,64,0.84989,0.0132795313
hu--c001,Chin-lung,Hu,49,0.11836,0.0024155102
carda001,Adrian,Cardenas,72,1.02627,0.01425375
younm003,Michael,Young,2928,72.27655,0.0246846141
hestj001,John,Hester,208,3.62039,0.0174057212
miraj001,Juan,Miranda,283,4.73968,0.0167479859
kouzk001,Kevin,Kouzmanoff,866,16.80374,0.0194038568
guzmc001,Cristian,Guzman,415,6.79378,0.0163705542
lambm001,Mike,Lamb,40,0.03074,0.0007685
inglj001,Joe,Inglett,194,4.00077,0.0206225258
lombs002,Steve,Lombardozzi,775,13.57235,0.0175127097
bushd001,David,Bush,65,1.69371,0.0260570769
johnr009,Rob,Johnson,528,9.14955,0.0173286932
johnr008,Reed,Johnson,927,16.34505,0.0176322006
westj001,Jake,Westbrook,191,3.37758,0.0176836649
kinsi001,Ian,Kinsler,2793,58.31318,0.0208783315
donaj002,Jason,Donald,614,10.96276,0.017854658
dural001,Luis,Durango,60,0.65954,0.0109923333
donaj001,Joshua,Donaldson,1068,26.04144,0.0243833708
staut001,Tim,Stauffer,94,0.90107,0.0095858511
ryanm001,Mike,Ryan,42,1.1386,0.0271095238
uptob001,B.J.,Upton,2459,44.19574,0.0179730541
barnb002,Brandon,Barnes,576,6.43229,0.0111671701
burrs001,Sean,Burroughs,140,2.98034,0.0212881429
lugoj001,Julio,Lugo,323,6.5339,0.0202287926
pillk001,nan,nan,111,2.01351,0.0181397297
weekj001,Jemile,Weeks,993,22.79877,0.0229594864
hudsd001,Daniel,Hudson,130,1.52579,0.0117368462
averx001,Xavier,Avery,112,2.51957,0.0224961607
baxtm001,Mike,Baxter,423,5.54644,0.0131121513
wangc001,Chien-Ming,Wang,27,0.01489,0.0005514815
hardj003,J.J.,Hardy,2416,48.72948,0.0201694868
forsl001,Logan,Forsythe,812,16.97137,0.020900702
cruzt002,Tony,Cruz,341,5.48891,0.0160965103
rodrl002,Luis,Rodriguez,147,2.78322,0.0189334694
valac001,Chris,Valaika,143,2.17824,0.0152324476
martj006,J.D.,Martinez,1014,23.40007,0.0230769921
herna003,Anderson,Hernandez,125,1.48835,0.0119068
waina001,Adam,Wainwright,277,5.42846,0.0195973285
beckg001,Gordon,Beckham,2155,41.28886,0.0191595638
giavj001,Johnny,Giavotella,451,11.36312,0.025195388
lahab001,Bryan,LaHair,474,10.10863,0.0213262236
trumm001,Mark,Trumbo,1912,35.93551,0.0187947228
sotog001,Geovany,Soto,1445,19.56283,0.0135382907
suzuk001,Kurt,Suzuki,1901,36.69552,0.019303272
romia002,Austin,Romine,180,3.36799,0.0187110556
hudso001,Orlando,Hudson,1380,34.89924,0.0252893043
redmt002,Todd,Redmond,5,0.34619,0.069238
mossb001,Brandon,Moss,894,20.69777,0.023151868
dietd001,nan,nan,243,4.56415,0.0187825103
ackld001,Dustin,Ackley,1525,31.58325,0.0207103279
simma001,Andrelton,Simmons,878,14.26456,0.0162466515
bussn001,nan,nan,21,0.32888,0.0156609524
genns001,nan,nan,237,3.49385,0.0147419831
lairb001,Brandon,Laird,145,1.24206,0.008565931
pears001,Steven,Pearce,489,11.09886,0.0226970552
stubd001,Drew,Stubbs,2376,41.48681,0.0174607786
gossp001,nan,nan,8,0.32888,0.04111
kaaik001,Kila,Ka'aihue,460,6.30423,0.0137048478
mesam001,Melky,Mesa,16,0.99362,0.06210125
sancj002,Jonathan,Sanchez,116,1.95693,0.0168700862
nievf001,Fernando,Nieve,2,0.32318,0.16159
zambc001,Carlos,Zambrano,144,3.34311,0.0232160417
andeb005,Bryan,Anderson,71,1.08547,0.0152883099
fuenr001,nan,nan,38,0.72768,0.0191494737
rober002,Ryan,Roberts,1337,30.24381,0.0226206507
billc001,Chad,Billingsley,192,1.76496,0.0091925
wortd001,Danny,Worth,251,4.95433,0.0197383665
rosaa001,Adam,Rosales,634,8.80593,0.0138894795
hernl004,Luis,Hernandez,50,0.81995,0.016399
lyonb003,Brandon,Lyon,2,0.17626,0.08813
gamem001,Mat,Gamel,122,3.06798,0.025147377
hernl003,Livan,Hernandez,138,2.8074,0.0203434783
marts002,Starling,Marte,783,14.91,0.0190421456
valbl001,Luis,Valbuena,1087,16.08845,0.014800782
elmoj001,Jake,Elmore,218,3.08644,0.0141579817
green001,Nick,Green,115,1.94678,0.0169285217
manzt001,Tommy,Manzella,290,4.66476,0.0160853793
mainj001,John,Maine,15,0.16339,0.0108926667
mccab002,Brian,McCann,2082,45.64457,0.0219234246
swisn001,Nick,Swisher,2731,65.79041,0.024090227
mccab001,Brandon,McCarthy,43,0.13337,0.0031016279
davik003,nan,nan,159,2.87025,0.0180518868
rizza001,Anthony,Rizzo,1249,27.81758,0.0222718815
beltc001,Carlos,Beltran,2279,59.06527,0.0259171874
prinj001,nan,nan,9,0.45294,0.0503266667
holld003,Derek,Holland,11,0.3528,0.0320727273
diamt001,Thomas,Diamond,8,0.18657,0.02332125
terdj001,nan,nan,96,1.56827,0.0163361458
parrg001,Gerardo,Parra,2044,34.14136,0.0167032094
erlir001,nan,nan,20,0.14362,0.007181
goinr001,nan,nan,129,1.80335,0.0139794574
mcdoj004,James,McDonald,164,1.74746,0.0106552439
schmk001,Konrad,Schmidt,17,0.48508,0.0285341176
cabra002,Asdrubal,Cabrera,2372,52.8817,0.02229414
mcdoj003,John,McDonald,715,9.61393,0.0134460559
spilr001,Ryan,Spilborghs,630,11.86943,0.0188403651
langr002,Ryan,Langerhans,217,3.42689,0.0157921198
corpc001,Carlos,Corporan,492,6.39,0.0129878049
mousm001,Mike,Moustakas,1545,28.33793,0.0183417023
bradd002,Dallas,Braden,2,0.32318,0.16159
rodrj003,Josh,Rodriguez,15,0.37676,0.0251173333
goset001,nan,nan,48,0.32318,0.0067329167
schin001,Nate,Schierholtz,1438,25.45257,0.0176999791
nealt001,Thomas,Neal,45,1.8657,0.04146
buckj001,John,Buck,1856,28.27602,0.0152349246
peguc001,Carlos,Peguero,230,4.41892,0.0192126957
harrj002,Josh,Harrison,596,10.85264,0.0182091275
gatte001,nan,nan,412,12.04591,0.0292376456
carll001,Luke,Carlin,31,0.0155,0.0005
larij001,Jeff,Larish,80,0.85006,0.01062575
hinse001,Eric,Hinske,808,14.81861,0.0183398639
sizeg001,Grady,Sizemore,443,8.67833,0.0195899097
escoy001,Yunel,Escobar,2456,50.82585,0.0206945643
zunim001,nan,nan,202,3.84209,0.0190202475
olivm001,Miguel,Olivo,1377,23.64171,0.0171689978
sizes001,Scott,Sizemore,612,4.33649,0.007085768
krate001,Erik,Kratz,434,7.79989,0.0179720968
wilsj002,Jack,Wilson,538,8.19022,0.0152234572
tatuc001,Craig,Tatum,229,4.41749,0.0192903493
grifk002,Ken,Griffey,112,2.12004,0.0189289286
chrij003,Justin,Christian,117,1.1647,0.0099547009
lee-d002,Derrek,Lee,1161,19.85284,0.0170997761
sucrj001,nan,nan,29,0.3448,0.0118896552
holab001,Bryan,Holaday,47,0.96271,0.0204831915
escoa003,Alcides,Escobar,2550,46.37518,0.0181863451
